"","neurotransmitter","uniqueID","Author","Year","doi","Include_final","design_true","N_drug","N_placebo","female_pct_drug","female_pct_pla","age_drug_m","age_drug_sd","age_pla_m","age_pla_sd","age_total","female_total","Drug","Dose","drug_interpretation","single_or_multiple_drugAdministrations","acute","taskAdministrationTime_postIntervention","repeatedMean_sessionTimewindow","task","task_name","task_name2","measure","outcome_name","t","F","exact_p","drug_m","drug_sd","drug_sem","placebo_m","placebo_sd","placebo_sem","MeanDiff","SED","d_raw","r_correlation","d.direction.new","Category","secondary_category","AuthorY","design","valence","author_provided_data","Random.sequence.generation","Allocation.concealment","Blinding.of.participants.and.experimenters","Blinding.of.outcome.assessment","Incomplete.outcome.data","drug_category","drug_activity","simplified_drug_target","drug_target","simplified_drug_target2","drug_dose","treat_as"
"127","DA",293,"Weis",2012,"https://dx.doi.org/10.1371/journal.pone.0052504","Y","bw",27,28,0.33,0.29,"29","1","28","1","28.5","0.31","L-dopa","100mg+35mg","increase_DA","single","1","30 min","bw","appetitive instrumental conditioning paradigm","appetitive instrumental conditioning","other","learning rate non-comp","accuracy learning",0.14,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"reward learning sensitivity","reward learning sensitivity","Weis, 2012","bw","r","","H","H","L","L","H","upregulate dopamine","agonist","DA precursor","DA precursor","DA precursor","L-dopa 100mg+35mg","bw"
"128","DA",315,"Westbrook",2024,"https://www.biorxiv.org/content/10.1101/2024.02.14.580392v1.full","Y","w",95,97,NA,NA,"","","","","","","methylphenidate","20mg","increase_DA","single","1","160min","","Reinforcement Learning Working Memory","PILT WM","PILT","late accuracy","late accuracy",NA,NA,NA,0.981150668,0.021078135,0.002162571,0.972180328,0.026912338,0.002732534,NA,NA,NA,NA,1,"reward learning sensitivity","reward learning sensitivity","Westbrook, 2024","w","r","","H","H","L","L","?","stimulant","agonist","DA reuptake inhibitor","DA and NA transporter inhibitor","DA reuptake inhibitor","methylphenidate 20mg","bw"
"129","DA",294,"Westbrook",2020,"https://dx.doi.org/10.1126/science.aaz5891","Y","w",46,46,NA,NA,"NA (reported before exclusion)","NA (reported before exclusion)","NA (reported before exclusion)","NA (reported before exclusion)",NA,NA,"methylphenidate","20mg","increase_DA","single","1","0.8h","","cognitive effort discounting paradigm","cognitive effort","effort","SV(hard task)","subjective value(hard task)",1.32494622847549,NA,NA,0.632152163043478,0.239761908845191,NA,0.589267902173913,0.208504517514066,NA,NA,NA,NA,0.527789127731216,-1,"reward discounting","","Westbrook, 2020","w","r","yes-online","H","H","L","L","?","stimulant","agonist","DA reuptake inhibitor","DA and NA transporter inhibitor","DA reuptake inhibitor","methylphenidate 20mg","w"
"130","5HT",299,"Worbe",2016,"https://dx.doi.org/10.1038/mp.2015.46","Y","bw",22,22,0.545454545,0.5,"30.5","1.84 SEM","27.78","1.61 SEM","29.14","0.522727273","TD","","decrease_5HT","single","1","5h","","two-step task rew","Two-step task","2-step","omega parameter","omega parameter",NA,6.93,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,"model-based","","Worbe, 2016","bw","r","","H","H","?","L","L","depletion","antagonist","5-HT precursor depletion","5-HT precursor depletion","other","TD","bw"
"131","5HT",301,"Worbe",2015,"https://dx.doi.org/10.1093/ijnp/pyv013","Y","bw",18,18,0.555555556,0.555555556,"26.07","3.68","26.59","1.5","26.33","0.555555556","TD","","decrease_5HT","single","1","4.5h","","3-stage instrumental learning paradigm that includes an initial instrumental learning stage, a subsequent outcome-devaluation test, and a slip-of-action stage, which directly tests the balance between hypothetical goal-directed and habitual systems.","3-stage instrumental learning","other","choices on devalued stimuli","devalued choices",NA,5.46,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,"model-based","","Worbe, 2015","bw","r","","H","H","?","L","?","depletion","antagonist","5-HT precursor depletion","5-HT precursor depletion","other","TD","bw"
"132","5HT",300,"Worbe",2014,"https://dx.doi.org/10.1038/npp.2013.351","Y","bw",22,22,0.590909091,0.636363636,"30.75","1.684 SEM","27.181","1.650 SEM","28.9655","0.613636364","TD","","decrease_5HT","single","1","","","Reward Delay-Discounting Questionnaire","DD","","mean k discounting rate","k parameter",NA,NA,NA,0.149,0.103189147,0.022,0.125,0.098498731,0.021,NA,NA,NA,NA,1,"reward discounting","","Worbe, 2014","bw","r","","H","H","?","L","L","depletion","antagonist","5-HT precursor depletion","5-HT precursor depletion","other","TD","bw"
"133","DA",302,"Wunderlich",2012,"https://dx.doi.org/10.1016/j.neuron.2012.03.042","Y","w",18,18,0,0,"23.3","3.4","23.3","3.4","23.3","0","L-dopa","150mg+37.5mg","increase_DA","single","1","55 min","at least 1 week","Two-step","Two-step task","2-step","param w","omega parameter",3.31405486184196,NA,0.005,1.00384251185475,2.85246273406398,NA,-0.463146658616004,2.61555203232445,NA,NA,NA,NA,0.767390781740176,1,"model-based","","Wunderlich, 2012","w","r","from fig3b","H","H","L","L","L","upregulate dopamine","agonist","DA precursor","DA precursor","DA precursor","L-dopa 150mg+37.5mg","w"
"134","DA",67,"de Wit",2002,"https://dx.doi.org/10.1016/S0893-133X%2802%2900343-3","Y","w",36,36,0.5,0.5,"24","6.5","24","6.5","24","0.5","d-amphetamine","20mg","increase_DA","single","1","90 min","min 72h","delay discounting task","DD","DD","k value (higher values of k are taken to indicate greater impulsivity)","k parameter",NA,NA,NA,0.025,0.054,0.009,0.037,0.06,0.01,NA,NA,NA,NA,-1,"reward discounting","","de Wit, 2002","w","r","","H","H","?","L","L","stimulant","agonist","DA reuptake inhibitor","DA and NA transporter inhibitor and NA, DA, 5-HT releaser ","DA reuptake inhibitor","d-amphetamine 20mg","bw"
"135","DA",271,"van den Bosch",2022,"https://dx.doi.org/10.1038/s41467-022-32679-1","Y","w",88,88,NA,NA,"NA (reportted before exclusions)","NA (reportted before exclusions)","NA (reportted before exclusions)","NA (reportted before exclusions)",NA,NA,"methylphenidate","20mg","increase_DA","single","1","1.5h","at least 1 week","predict reversal learning task (Cools et al 2006)","observational reversal","reversal","update after unexpected reward (UR)","accuracy reversal",NA,NA,NA,0.95,0.056284989,0.006,0.92,0.075046652,0.008,NA,NA,NA,NA,1,"model-based","","van den Bosch, 2022","w","r","","?","L","L","L","?","stimulant","agonist","DA reuptake inhibitor","DA and NA transporter inhibitor","DA reuptake inhibitor","methylphenidate 20mg","bw"
"136","DA",272,"van der Schaaf",2013,"https://dx.doi.org/10.1038/npp.2013.100","Y","w",19,19,0.52,0.52,"20.9",NA,"20.9",NA,"20.9","0.52","methylphenidate","20mg","increase_DA","single","1","165min","at least 1 week","predict reversal learning task (Cools et al 2006)","observational reversal","reversal","arcsine accuracy score in reward reversal (unexpected rewards)","accuracy reversal",1.73486021669118,NA,NA,2.96926315789474,0.241223004731505,0.01,2.79484210526316,0.329745232154545,0.01,NA,NA,NA,-0.157986294200813,1,"model-based","","van der Schaaf, 2013","w","r","yes","H","H","L","L","L","stimulant","agonist","DA reuptake inhibitor","DA and NA transporter inhibitor","DA reuptake inhibitor","methylphenidate 20mg","w"
"137","DA",273,"van der Schaaf",2014,"https://dx.doi.org/10.1093/cercor/bhs344","Y","w",23,23,0.5,0.5,"NA (reportted before exclusions)","NA (reportted before exclusions)","NA (reportted before exclusions)","NA (reportted before exclusions)",NA,"0.5","sulpiride","400mg","decrease_DA","single","1","sulpiride: 2.25h, bromocriptine: 1.75h ","at least 1 week","reversal-learning task","observational reversal","reversal","arcsine proportion scores of correct responses in reward condition (unexpected rewards)","accuracy reversal",2.06139882705601,NA,NA,2.6984197947594,0.341326564090739,0.01,2.57245851048671,0.38639463450949,0.02,NA,NA,NA,0.682128488530371,-1,"model-based","","van der Schaaf, 2014","w","r","yes","H","H","L","L","H","antipsychotic","antagonist","D2 receptor antagonist","D2 receptor antagonist","D2 receptor antagonist","sulpiride 400mg","w"
